file	pages	title	author	first_text_sample
12_agriengineering_2024_ml_microclimate_web_control.pdf	25	Machine-Learning Microclimate Forecasting forAdaptive Equipment Control via Web Integration inOpen-Ventilated Greenhouses	Kyaw Maung Maung Thwin, Teerayut Horanont and Teera Phatrapornnant	--- page 1 --- Citation: Thwin, K.M.M.; Horanont, T.; Phatrapornnant, T. Machine-Learning Microclimate Forecasting for Adaptive Equipment Control via Web Integration in Open-Ventilated Greenhouses. AgriEngineering 2024, 6, 2845–2869. https://doi.org/10.3390/ agriengineering6030165 Academic Editor: Simone Pascuzzi Received: 19 July 2024 Revised: 8 August 2024 Accepted: 9 August 2024 Published: 13 August 2024 Copyright: © 2024 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https:// creativecommons.org/licenses/by/ 4.0/). AgriEngineering Article Machine-Lear
13_agronomy_2024_attention_cnn_lstm_mushroom_greenhouse.pdf	16	Microsoft Word - agronomy-2886517.docx	Admin	--- page 1 --- Agronomy 2024, 14, 473. https://doi.org/10.3390/agronomy14030473 www.mdpi.com/journal/agronomy Article Edible Mushroom Greenhouse Environment Prediction Model Based on Attention CNN-LSTM Shuanggen Huang 1, Quanyao Liu 1, Ya n Wu 1, Minmin Chen 2, Hua Yin 3,* and Jinhui Zhao 1,* 1 Key Laboratory of Modern Agricultural Equipment in Jiangxi Province, Jiangxi Agricultural University, Nanchang 330045, China; shuanggenhuang1979@jxau.edu.cn (S.H.); 630620474@stu.jxau.edu.cn (Q.L.); wuyan1981@jxau.edu.cn (Y.W.) 2 Department of Marine Engineering, Shanwei Institute of Technology, Shanwei 516600, China; 13560552877@163.com 3 School of Software, Jiangxi Agricultural University, Nanchang 
14_arxiv_2303.06110_RL_vs_MPC_greenhouse.pdf	30	Reinforcement Learning Versus Model Predictive Control on Greenhouse Climate Control	Bernardo Morcego; Wenjie Yin; Sjoerd Boersma; Eldert van Henten; Vicenç Puig; Congcong Sun; 	--- page 1 --- arXiv:2303.06110v1 [math.OC] 10 Mar 2023 Reinforcement Learning Versus Model Predictive Control on Greenhouse Climate Control Bernardo Morcego 1, Wenjie Yin 1, Sjoerd Boersma 2, Eldert van Henten 3, Vicen¸ c Puig1, Congcong Sun 3,∗ Abstract Greenhouse is an important protected horticulture system for fe eding the world with enough fresh food. However, to maintain an ideal growing climat e in a greenhouse requires resources and operational costs. In orde r to achieve eco- nomical and sustainable crop growth, eﬃcient climate control of gr eenhouse production becomes essential. Model Predictive Control (MPC) is t he most commonly used approach in the scientiﬁc literature for gree
15_arxiv_2505.23355_grower_in_loop_RL_greenhouse.pdf	33	Grower-in-the-Loop Interactive Reinforcement Learning for Greenhouse Climate Control	Maxiu Xiao; Jianglin Lan; Jingxin Yu; Weihong Ma; Qiuju Xie; Congcong Sun	--- page 1 --- Grower-in-the-Loop Interactive Reinforcement Learning for Greenhouse Climate Control Maxiu Xiao1, Jianglin Lan2, Jingxin Yu1,3,4, Weihong Ma5, Qiuju Xie6, Congcong Sun1,∗ Abstract Climate control is crucial for greenhouse production as it directly affects crop growth and resource use. Reinforcement learning (RL) has received increasing attention in this field, but still faces challenges, including limited training effi- ciency and high reliance on initial learning conditions. Interactive RL, which combines human (grower) input with the RL agent’s learning, offers a poten- tial solution to overcome these challenges. However, interactive RL has not yet been applied to greenhouse
16_volgau_2026_intelligent_temperature_control.pdf	668		111	--- page 1 --- ***** ИЗВЕСТИЯ ***** НИЖНЕВОЛЖСКОГО АГРОУНИВЕРСИТЕТСКОГО КОМПЛЕКСА: НАУКА И ВЫСШЕЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАНИЕ № 2 (86), 2026 1 ИЗВЕСТИЯ НИЖНЕВОЛЖСКОГО АГРОУНИВЕРСИТЕТСКОГО КОМПЛЕКСА: НАУКА И ВЫСШЕЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАНИЕ № 2 (86), 2026 Группы специальностей: 4.1. Агрономия, лесное и водное хозяйство 4.2. Зоотехния и ветеринария 4.3. Агроинженерия и пищевые технологии Волгоград Волгоградский ГАУ 2026 PROCEEDINGS OF NIZHNEVOLZSKIY AGROUNIVERSITY COMPLEX: SCIENCE AND HIGHER VOCATIONAL EDUCATION № 2 (86), 2026 Groups of specialties: 4.1. Agronomy, forestry and water management 4.2. Animal science and veterinary medicine 4.3. Agroengineering and food technologies Volgograd 
17_energies_2022_iot_smart_greenhouses_industry_4.pdf	30	Type of the Paper (Article	MDPI	--- page 1 --- Energies 2022, 15, 3834. https://doi.org/10.3390/en15103834 www.mdpi.com/journal/energies Review Internet of Things Approaches for Monitoring and Control of Smart Greenhouses in Industry 4.0 Chiara Bersani, Carmelina Ruggiero, Roberto Sacile, Abdellatif Soussi and Enrico Zero * DIBRIS—Department of Informatics, Bioengineering, Robotics and Systems Engineering, University of Genoa, 16145 Genova, Italy; chiara.bersani@unige.it (C.B.); carmel@dibris.unige.it (C.R.); roberto.sacile@unige.it (R.S.); s4420901@unige.it (A.S.) * Correspondence: enrico.zero@dibris.unige.it Abstract: In recent decades, climate change and a shortage of resources have brought about the need for technology
19_urfu_diploma_intelligent_control_2021.pdf	74	Разработка интеллектуальной системы управления температурой в помещении	Тюхтий Юлия Алексеевна	--- page 1 --- Министерство науки и высшего образования Российской Федерации Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н.Ельцина» Нижнетагильский технологический институт (филиал) Школа магистратуры Кафедра информационных технологий Допустить к защите в ГЭК И.о. зав. каф., к.п.н. Р.А. Карелова _______________________ «____»____________2021 г. РАЗРАБОТКА ИНТЕЛЛЕКТУАЛЬНОЙ СИСТЕМЫ УПРАВЛЕНИЯ ТЕМПЕРАТУРОЙ В ПОМЕЩЕНИИ ВЫПУСКНАЯ КВАЛИФИКАЦИОННАЯ РАБОТА (МАГИСТЕРСКАЯ ДИССЕРТАЦИЯ) Пояснительная записка 150406 60800601 003 ПЗ Руководитель доцент, к.т.н. В.В. Гоман Консультант инженер, ООО 
20_uspu_diploma_greenhouse_microcontrollers.pdf	105	Автоматизированная система управления тепличным хозяйством на базе микроконтроллеров	Кельсин А. А.	--- page 1 --- Министерство просвещения РФ Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный педагогический университет» Институт математики, физики, информатики и технологий Кафедра информатики, информационных технологий и методики обучения информатике Автоматизированная система управления тепличным хозяйством на базе микроконтроллеров Выпускная квалификационная работа бакалавра по направлению подготовки 09.03.03 – Прикладная информатика в сервисе Работа допущена к защите «____»__________ 2021 г. Зав. кафедрой __________ Руководитель ОПОП __________ Исполнитель: студент группы ПИ-1601z Института математики, физики, информатики и 
21_robotics_nw_ru_greenhouse_models.pdf	28	Full Title of Your Paper Here	DeGeorge	--- page 1 --- МОДЕЛИ, МЕТОДЫ И АРХИТЕКТУРЫ АВТОМАТИЗАЦИИ ТЕХНОЛОГИЧЕСКИХ ПРОЦЕССОВ ВЫРАЩИВАНИЯ КУЛЬТУР В ВЕРТИКАЛЬНЫХ ФЕРМАХ Введение Процесс выращивания культур в тепличных комплексах, в том числе вертикальных фермах, требует поддерживать необходимые для этих культур микроклиматические условия – проветривание, температурный режим, освещение, полив и т.д. Необходимо следить за микроклиматическими условиями в теплицах, так как даже кратковременное нарушение этих условий может привести к негативным последствиям, вплоть до гибели растений, что нанесёт значительный ущерб предприятию. Операции, которые необходимо выполнять для поддержания микроклимата в теплице, определяются технологией выращива
22_irsau_maket_students_2025.pdf	1158		Дмитрий Иванович Иляшевич	--- page 1 --- 1 МИНИСТЕРСТВО СЕЛЬСКОГО ХОЗЯЙСТВА РОССИЙСКОЙ ФЕДЕР АЦИИ Департамент научно-технологической политики и образования ИРКУТСКИЙ ГОСУДАРСТВЕННЫЙ АГР АРНЫЙ УНИВЕРСИТЕТ ИМЕНИ А.А. ЕЖЕВСКОГО МАТЕРИАЛЫ Всероссийской студенческой научно-практической конференции «Научные исследования студентов в решении актуальных проблем АПК» 20 - 21 февраля 2025 года п. Молодежный 2025 --- page 2 --- УДК 001:63 ББК 40 Н 347 Материалы всероссийской студенческой научно-практической конференции: «Научные исследования студентов в решении актуальных проблем АПК» (15-16 февраля 2024 г .) /: - Молодежный: Изд-во Иркутский Г АУ , 2024.- 1158 с. В материалы всероссийской студенческой научно-практической конфер
23_altstu_conf_2020_greenhouse.pdf	239		Юлия	--- page 1 --- Министерство науки и высшего образования Российской Федерации Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный технический университет им. И.И. Ползунова» НАУКА И МОЛОДЕЖЬ Материалы XVII Всероссийской научно-технической конференции студентов, аспирантов и молодых ученых (01-05 июня 2020 года, г. Барнаул) Часть 8 ЭНЕРГЕТИЧЕСКИЙ ФАКУЛЬТЕТ ФАКУЛЬТЕТ СПЕЦИАЛЬНЫХ ТЕХНОЛОГИЙ 01–05 ИЮНЯ 2020 ГОДА ISBN 978-5-7568-1347-0 Изд-во АлтГТУ Барнаул • 2020 --- page 2 --- 2 УДК 621 Наука и молодежь [Электронный ресурс] : материалы XVII Всероссий - ской научно -технической конференции студе нтов, аспирантов и молодых ученых (01-05 и
24_cyberleninka_sravnitelnyy_analiz.pdf	20			--- page 1 --- УДК 004 Ван Вэйянь, Харисов А.Р. Ван Вэйянь магистрант Уральский федеральный государственный университет им. первого Президента России Б.Н. Ельцина (г. Екатеринбург, Россия) Харисов А.Р. канд. техн. наук, доцент Уральский федеральный государственный университет им. первого Президента России Б.Н. Ельцина (г. Екатеринбург, Россия) СРАВНИТЕЛЬНЫЙ АНАЛИЗ СОВРЕМЕННЫХ СИСТЕМ АВТОМАТИЗИРОВАННОГО УПРАВЛЕНИЯ МИКРОКЛИМАТОМ В ТЕПЛИЦЕ Аннотация: автоматизация управления микроклиматом в теплицах становится ключевым компонентом современной защищённой агротехнологии, обеспечивая не только снижение эксплуатационных затрат на ресурсы (энергию, воду) и труд, но и кардинальное повышение урожайнос
2506.13278v1.pdf	6	RL-Guided MPC for Autonomous Greenhouse Control	Salim Msaad; Murray Harraway; Robert D. McAllister	--- page 1 --- arXiv:2506.13278v1 [eess.SY] 16 Jun 2025 RL-Guided MPC for Autonomous Greenhouse Control Salim Msaad ∗ Murray Harraway ∗ Robert D. McAllister ∗ ∗ Delft Center for Systems and Control (DCSC), Delft University of Technology, Delft, The Netherlands Abstract: The efficient operation of greenhouses is essential for enhancing crop yield while minimizing energy costs. This paper investigates a control strategy that integrates Reinforce- ment Learning (RL) and Model Predictive Control (MPC) to optimize economic benefits in autonomous greenhouses. Previous research has explored the use of RL and MPC for greenhouse control individually, or by using MPC as the function approximator for t
2507.21669v2.pdf	38	Data-Driven Greenhouse Climate Regulation in Lettuce Cultivation Using BiLSTM and GRU Predictive Control	Soumo Emmanuel Arnaud; Marcello Calisti; Athanasios Polydoros	--- page 1 --- Data-Driven Greenhouse Climate Regulation in Lettuce Cultivation Using BiLSTM and GRU Predictive Control Soumo Emmanuel Arnaud,∗a, Marcello Calistib, Athanasios Polydorosa aUniversity of Lincoln, School of Engineering, Physical Science and Lincoln Centre for Autonomous Systems, , Lincoln, LN6 7TS, , United Kingdom bSant’Anna School of Advanced Studies, The BioRobotics Institute, Viale Rinaldo Piaggio 34, Pontedera, , Pisa, Italy Abstract Efficient greenhouse management is essential for sustainable food pro- duction, but the high energy demand for climate regulation poses signifi- canteconomicandenvironmentalchallenges. Whiletraditionalprocess-based greenhouse models exist, the
25_cyberleninka_obzor_mikrozelen.pdf	7		admin	--- page 1 --- Агротехника и энергообеспечение. – 2023. – № 2 (39) 83 УДК 621.316.13: 621.3.027.2:621.3.022 ОБЗОР СИСТЕМЫ УПРАВЛЕНИЯ МИКРОКЛИМАТОМ АВТОМАТИЗИРОВАННОЙ ТЕПЛИЦЫ ДЛЯ ВЫРАЩИВАНИЯ МИКРОЗЕЛЕНИ Гречиха А.С. РГАУ-МСХА имени К.А. Тимирязева Аннотация: Автоматизация микроклимата в теплице позволяет существенно улучшить условия для растений и повысить их урожайность. Для этого можно использовать различные сенсоры, контроллеры и устройства автоматики, которые буду т регулировать температуру, влажность, освещение и другие параметры в теплице. Целью работы является обзор систем управления микроклиматом автоматизированной теплицы для выращивания микрозелени. В статье приведены две автоматизи
26_agriarticles_iot_local_forecasting.pdf	5	Agri Articles (E-Magazine) 05(05) 2025	Agri Articles	--- page 1 --- Agri Articles (e-Magazine for Agricultural Articles) Volume: 05, Issue: 05 (SEP-OCT, 2025) Available online at http://www.agriarticles.com Agri Articles, ISSN: 2582-9882 Agri Articles ISSN: 2582-9882 Page 20 Integrating IoT and AI-Powered Local Weather Forecasting in Extension Services *Sneha Rai M.Sc. (Ag.) Extension, Department of Technology Transfer, Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya, Chitrakoot, Satna, M.P., India *Corresponding Author’s email: raisneha2001@gmail.com or farm -level choices (sowing, irrigation, pesticide application, harvesting) and for fostering climate resilience among smallholders, accurate, timely, and hyper -local weather information
MQTT_Protocol_based_Smart_Greenhouse_Environment_M.pdf	8	International Journal of Innovative Technology and Exploring Engineering (IJITEE)	IJITEE;Scopus Journal;UGC Journal	--- page 1 --- International Journal of Innovative Technology and Exploring Engineering (IJITEE) ISSN: 2278-3075 (Online), Volume-9 Issue-9, July 2020 278 Published By: Blue Eyes Intelligence Engineering and Sciences Publication Retrieval Number: I7149079920/2020©BEIESP DOI: 10.35940/ijitee.I7149.079920 Journal Website: www.ijitee.org Abstract: Internet of Things (IoT ) allows connections among various devices using the internet with the ability to gather and exchange data. IoT has various connecting protocols like HTTPS, MQTT, CoAP, SMCP, etc. A lightweight protocol of all these protocols is the Message Queuing Telemet ry Transport (MQTT) protocol. Agriculture is the backbone of India it pl
agriculture-15-02461.pdf	15	Probabilistic Deep Learning Framework for Greenhouse Microclimate Prediction with Time-Varying Uncertainty and Covariance Analysis	Woo-Joo Choi and Myongkyoon Yang	--- page 1 --- Academic Editors: Dong Sub Kim, Sunghyun Yoon and Young-Yeol Cho Received: 28 October 2025 Revised: 25 November 2025 Accepted: 25 November 2025 Published: 27 November 2025 Citation: Choi, W.-J.; Yang, M. Probabilistic Deep Learning Framework for Greenhouse Microclimate Prediction with Time-Varying Uncertainty and Covariance Analysis. Agriculture 2025, 15, 2461. https://doi.org/10.3390/ agriculture15232461 Copyright: © 2025 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/ licenses/by/4.0/). Article Probabilistic De
agriculture-16-00761-v2.pdf	63	Smart Greenhouses in the Era of IoT and AI: A Comprehensive Review of AI Applications, Spectral Sensing, Multimodal Data Fusion, and Intelligent Systems		--- page 1 --- Received: 16 February 2026 Revised: 21 March 2026 Accepted: 25 March 2026 Published: 30 March 2026 Copyright: © 2026 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license. Review Smart Greenhouses in the Era of IoT and AI: A Comprehensive Review of AI Applications, Spectral Sensing, Multimodal Data Fusion, and Intelligent Systems Wiam El Ouaham 1,*, Mohamed Sadik 1 , Abdelhadi Ennajih 1 , Youssef Mouzouna 1 , Houda Orchi 1 and Samir Elouaham 2 1 NEST Research Group, Energy and Electrical Systems Laboratory (LESE Lab.), National Higher School of Ele
agriengineering-07-00380.pdf	20	Smart Farming Experiment: IoT-Enhanced Greenhouse Design for Rice Cultivation with Foliar and Soil Fertilization	I Made Joni, Dwindra Wilham Maulana, Ferry Faizal, Oviyanti Mulyani, Camellia Panatarani, Ni Nyoman Rupiasih, Pramujo Wi	--- page 1 --- Academic Editor: Sotirios K. Goudos Received: 28 September 2025 Revised: 31 October 2025 Accepted: 4 November 2025 Published: 10 November 2025 Citation: Joni, I.M.; Maulana, D.W.; Faizal, F.; Mulyani, O.; Panatarani, C.; Rupiasih, N.N.; Widiatmoko, P .; Paad, K.M.; Viridi, S.; Anwar, A.; et al. Smart Farming Experiment: IoT-Enhanced Greenhouse Design for Rice Cultivation with Foliar and Soil Fertilization. AgriEngineering 2025, 7, 380. https://doi.org/10.3390/ agriengineering7110380 Copyright: © 2025 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) li
applsci-16-04859.pdf	47	Clean and Smart Energy Technologies for Agricultural Energy Internet Systems: A Comprehensive Review and  Future Perspectives	Yuxin Wu and Xueqian Fu	--- page 1 --- Academic Editor: José Miguel Molina Martínez Received: 9 April 2026 Revised: 5 May 2026 Accepted: 6 May 2026 Published: 13 May 2026 Copyright: © 2026 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license. Review Clean and Smart Energy Technologies for Agricultural Energy Internet Systems: A Comprehensive Review and Future Perspectives Yuxin Wu and Xueqian Fu * College of Information and Electrical Engineering, China Agricultural University, Beijing 100083, China; 2023308130612@cau.edu.cn * Correspondence: fuxueqian@cau.edu.cn Abstract The Agricultu
energies-18-05821-v2.pdf	20	Forecast-Driven Climate Control for Smart Greenhouses: Energy Optimization Using LSTM Model	Abdulaziz Aborujilah, Mohammed Al-Sarem and Marwan Alabed Abu-Zanona	--- page 1 --- Academic Editors: Paweł Czy˙zewski, Hao Shi and Mohammad Alnajideen Received: 9 June 2025 Revised: 19 October 2025 Accepted: 24 October 2025 Published: 4 November 2025 Citation: Aborujilah, A.; Al- Sarem, M.; Abu-Zanona, M.A. Forecast-Driven Climate Control for Smart Greenhouses: Energy Optimization Using LSTM Model. Energies 2025, 18, 5821. https:// doi.org/10.3390/en18215821 Copyright: © 2025 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/ licenses/by/4.0/). Article Forecast-Driven Climate Control for Smart Gre
